"";"hgnc_symbol"
"1";"TNFRSF14"
"2";"PRXL2B"
"3";"NLRP7"
"4";"NLRP2"
"5";"NAP1L4"
"6";"NCR3"
"7";"PTP4A3"
"8";"LY6E"
"9";"FRG1"
"10";"PARN"
"11";"NPIPA1"
"12";"INO80D"
"13";"CASP8AP2"
"14";"RHOU"
"15";"CECR7"
"16";"MED15"
"17";"OSBP2"
"18";"ELMO2"
"19";"FKBP3"
"20";"SLC14A1"
"21";"FNDC3A"
"22";"RNF125"
"23";"FRG1BP"
"24";"GID8"
"25";"ADGRA3"
"26";"TSHZ2"
"27";"ATXN10"
"28";"HOPX"
"29";"SYCP2"
"30";"SEPHS1"
"31";"FLT1"
"32";"FAM217B"
"33";"SLAIN1"
"34";"STX16"
"35";"IPO5"
"36";"STX16-NPEPL1"
"37";"PTGER2"
"38";"ARMC3"
"39";"CNTNAP3P2"
"40";"MX2"
"41";"ZFAND4"
"42";"PHF2"
"43";"EVC2"
"44";"NRP1"
"45";"DSC1"
"46";"CNTNAP3C"
"47";"SLC25A6P2"
"48";"ZNF236"
"49";"C11orf58"
"50";"SLC9B2"
"51";"BCL2L1"
"52";"RAD23B"
"53";"PI4K2A"
"54";"OSBPL3"
"55";"FANCC"
"56";"STARD9"
"57";"YBX3"
"58";"CREB5"
"59";"DSC2"
"60";"PDE3B"
"61";"GKAP1"
"62";"FBXW4"
"63";"GID4"
"64";"TNFAIP2"
"65";"FHIP2A"
"66";"TLK2P1"
"67";"FAM210B"
"68";"FAM13A"
"69";"FAM24B"
"70";"AGFG2"
"71";"ARHGAP42"
"72";"IKZF3"
"73";"NEDD4L"
"74";"DGKH"
"75";"PPP2R2D"
"76";"CUZD1"
"77";"MLLT3"
"78";"SLC25A37"
"79";"GPR183"
"80";"RAB11FIP1"
"81";"TSPAN5"
"82";"NPIPA9"
"83";"TDRD3"
"84";"CNTNAP3B"
"85";"BUB3"
"86";"NPIPA8"
"87";"ACP1"
"88";"TJP3"
"89";"EPHX2"
"90";"SMIM24"
"91";"RGCC"
"92";"ZBTB44"
"93";"ZMYM2"
"94";"DAAM1"
"95";"DACT1"
"96";"RC3H2"
"97";"INTS6-AS1"
"98";"RPS4XP16"
"99";"ELK3"
"100";"NET1"
"101";"USP3"
"102";"ZMYND11"
"103";"SNCA"
"104";"RPS6KB1"
"105";"TULP4"
"106";"PHF10"
"107";"MAN2A2"
"108";"PLVAP"
"109";"ATP11A"
"110";"PRKCA"
"111";"TRIM22"
"112";"VPS36"
"113";"CPED1"
"114";"SDK2"
"115";"BBS7"
"116";"SKAP1"
"117";"IFT74"
"118";"STXBP1"
"119";"KCMF1"
"120";"IGF1R"
"121";"GAL3ST4"
"122";"ZBP1"
"123";"LMNB1"
"124";"GPNMB"
"125";"DDX43"
"126";"DNAH6"
"127";"CCN3"
"128";"ZFP36L1"
"129";"SPTB"
"130";"GZMA"
"131";"FAM193A"
"132";"ST8SIA4"
"133";"RUFY2"
"134";"NPIPA5"
"135";"CAMTA1"
"136";"WDTC1"
"137";"ZER1"
"138";"AJAP1"
"139";"ABHD2"
"140";"FRG1JP"
"141";"SOX5"
"142";"MACROH2A2"
"143";"TRAPPC2B"
"144";"CD200R1"
"145";"AGO2"
"146";"IFIT1B"
"147";"TNFRSF9"
"148";"PLAC8"
"149";"CARD11"
"150";"ECPAS"
"151";"ANTXR2"
"152";"PHLDB2"
"153";"ULK2"
"154";"ARID5B"
"155";"TBCEL-TECTA"
"156";"RPS4XP21"
"157";"APPL1"
"158";"KANK1"
"159";"PGM2L1"
"160";"AMFR"
"161";"SERPINF1"
"162";"CACHD1"
"163";"CIZ1"
"164";"SNX19"
"165";"ARMC8"
"166";"RPLP1"
"167";"CNTNAP3"
"168";"PPP3R1"
"169";"ZNF547"
"170";"PGGHG"
"171";"S1PR1"
"172";"ATXN7L1"
"173";"ADAM22"
"174";"CCDC93"
"175";"AFDN"
"176";"FPR3"
"177";"FRG1HP"
"178";"TAX1BP1"
"179";"RNF168"
"180";"GARRE1"
"181";"EXTL3"
"182";"SGMS2"
"183";"SNRNP48"
"184";"KNTC1"
"185";"CD96"
"186";"HCAR2"
"187";"HCAR3"
"188";"PURA"
"189";"IGIP"
"190";"HLTF"
"191";"PRKD3"
"192";"FAXDC2"
"193";"SGK1"
"194";"CD2"
"195";"PDCD4"
"196";"RAPGEF6"
"197";"NCEH1"
"198";"TECR"
"199";"ARHGAP18"
"200";"CXCL5"
"201";"NADSYN1"
"202";"SLAMF6"
"203";"CD160"
"204";"SORBS3"
"205";"XCL2"
"206";"DIS3L"
"207";"TNFRSF10A"
"208";"GPA33"
"209";"XCL1"
"210";"CFH"
"211";"PRKCQ-AS1"
"212";"MYEF2"
"213";"SCCPDH"
"214";"ATP2B1"
"215";"TRIP12"
"216";"CD163"
"217";"GNS"
"218";"TBCEL"
"219";"CAPN2"
"220";"MICAL2"
